name,Completo,En curso,Incompleto
UTN - Universidad Tecnológica Nacional,0.04188900747065102,0.02934898612593383,0.02534685165421558
UBA - Universidad de Buenos Aires,0.02534685165421558,0.016542155816435433,0.010138740661686232
UNLaM - Universidad Nacional de La Matanza,0.0080042689434365,0.0034685165421558164,0.0010672358591248667
UADE - Universidad Argentina De la Empresa,0.007470651013874066,0.005869797225186766,0.0018676627534685165
UAI - Universidad Abierta Interamericana,0.007470651013874066,0.002934898612593383,0.0008004268943436499
ORT,0.005869797225186766,0.0008004268943436499,0.0005336179295624333
UP - Universidad de Palermo,0.005602988260405549,0.0032017075773745998,0.0008004268943436499
UNLP - Universidad Nacional de La Plata,0.005069370330843116,0.0026680896478121665,0.00400213447171825
UNC - Universidad Nacional de Córdoba,0.005069370330843116,0.0008004268943436499,0.0010672358591248667
UNR - Universidad Nacional de Rosario,0.0048025613660619,0.0013340448239060833,0.0021344717182497333
UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,0.0034685165421558164,0.0008004268943436499,0.0010672358591248667
Universidad Siglo 21,0.0032017075773745998,0.005602988260405549,0.0008004268943436499
UNCUYO - Universidad Nacional de Cuyo,0.0032017075773745998,0.0016008537886872999,0.0008004268943436499
UNSAM - Universidad de San Martín,0.00240128068303095,0.0026680896478121665,0.0010672358591248667
ITBA Instituto Tecnológico de Buenos Aires,0.00240128068303095,0.00026680896478121667,0.0
UCAECE - Centro de Altos Estudios en Ciencias Exactas,0.0021344717182497333,0.00240128068303095,0.0013340448239060833
UNS - Universidad Nacional del Sur,0.0021344717182497333,0.0010672358591248667,0.00026680896478121667
UBP - Universidad Blas Pascal,0.0021344717182497333,0.0,0.00026680896478121667
ESBA - Escuela Superior Buenos Aires,0.0018676627534685165,0.0016008537886872999,0.0005336179295624333
ISTEA - Instituto Superior Tecnológico Empresarial Argentino,0.0016008537886872999,0.0018676627534685165,0.00026680896478121667
UCA - Universidad Católica Argentina,0.0016008537886872999,0.0,0.0
UNCOMA - Universidad Nacional del Comahu,0.0016008537886872999,0.0,0.0
Escuela Da Vinci,0.0013340448239060833,0.0016008537886872999,0.0008004268943436499
USAL - Universidad del Salvador,0.0013340448239060833,0.0005336179295624333,0.0008004268943436499
UNL - Universidad Nacional del Litoral,0.0013340448239060833,0.00026680896478121667,0.0010672358591248667
UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,0.0013340448239060833,0.0,0.0005336179295624333
UNLA - Universidad Nacional de Lanús,0.0010672358591248667,0.0005336179295624333,0.0008004268943436499
UNNNE - Universidad Nacional del Nordeste,0.0010672358591248667,0.0005336179295624333,0.0008004268943436499
UCES - Universidad de Ciencias Empresariales y Sociales,0.0010672358591248667,0.00026680896478121667,0.0
UNRC - Universidad Nacional de Río Cuarto,0.0010672358591248667,0.00026680896478121667,0.0
UNSL - Universidad Nacional de San Luis,0.0010672358591248667,0.00026680896478121667,0.0
UNQ - Universidad Nacional de Quilmes,0.0008004268943436499,0.0005336179295624333,0.0010672358591248667
IUA - Instituto Universitario Aeronáutico,0.0008004268943436499,0.00026680896478121667,0.0
UM - Universidad de Morón,0.0008004268943436499,0.00026680896478121667,0.00026680896478121667
UNTREF - Universidad Tres de Febrero,0.0008004268943436499,0.00026680896478121667,0.0008004268943436499
UNJu - Universidad Nacional de Jujuy,0.0008004268943436499,0.0,0.0008004268943436499
UADER - Universidad Autónoma de Entre Ríos,0.0005336179295624333,0.0008004268943436499,0.0005336179295624333
UB - Universidad de Belgrano,0.0005336179295624333,0.00026680896478121667,0.0
UK - Universidad Kennedy,0.0005336179295624333,0.0,0.0005336179295624333
UNLaR - Universidad Nacional De La Rioja,0.0005336179295624333,0.0,0.00026680896478121667
Otros,0.00080042689434365,0.003735325506937033,0.0021344717182497333
