name,Completo,En curso,Incompleto
Ingeniería en Sistemas,0.03441835645677695,0.019743863393810034,0.01840981856990395
Analista de Sistemas,0.0240128068303095,0.00720384204909285,0.007470651013874066
Ingeniería en Informática,0.019743863393810034,0.013607257203842048,0.004268943436499467
Licenciatura en Sistemas,0.01200640341515475,0.009071504802561366,0.004268943436499467
Diseño Gráfico,0.010939167556029883,0.0013340448239060833,0.0010672358591248667
Tecnicatura Superior en Programación,0.010672358591248666,0.010672358591248666,0.005869797225186766
Licenciatura en Informática,0.008804695837780149,0.006670224119530417,0.00400213447171825
Ingeniería Electrónica,0.00720384204909285,0.0032017075773745998,0.0048025613660619
Licenciatura en Ciencias de la Computación,0.0061366061899679825,0.0080042689434365,0.00400213447171825
Licenciatura en Administración de Empresas,0.004268943436499467,0.0034685165421558164,0.0010672358591248667
Analista Programador Universitario,0.0032017075773745998,0.0016008537886872999,0.0010672358591248667
Tecnicatura Superior en Sistemas Informáticos,0.0032017075773745998,0.0008004268943436499,0.00026680896478121667
Ingeniería Industrial,0.0032017075773745998,0.0005336179295624333,0.0013340448239060833
Ingeniería en Computación,0.002934898612593383,0.0005336179295624333,0.0013340448239060833
Ingeniería en Telecomunicaciones,0.00240128068303095,0.0008004268943436499,0.00026680896478121667
Telecomunicaciones,0.00240128068303095,0.00026680896478121667,0.0008004268943436499
Analista de Computación,0.00240128068303095,0.0,0.00026680896478121667
Licenciatura en Ciencias Físicas,0.00240128068303095,0.0,0.0008004268943436499
Tecnicatura en Sistemas,0.0021344717182497333,0.00026680896478121667,0.0008004268943436499
Licenciatura en Ciencia de Datos,0.0018676627534685165,0.009871931696905017,0.00026680896478121667
Diseño Multimedial,0.0018676627534685165,0.00026680896478121667,0.00026680896478121667
Tecnicatura en Informática,0.0016008537886872999,0.0008004268943436499,0.0008004268943436499
Desarrollo Web,0.0013340448239060833,0.0005336179295624333,0.00026680896478121667
Licenciatura en Comunicación,0.0013340448239060833,0.00026680896478121667,0.0008004268943436499
Tecnicatura en Computación,-0.0013340448239060833,-0.00026680896478121667,-0.0
Ingeniería en Software,0.0010672358591248667,0.0018676627534685165,0.0010672358591248667
Licenciatura en Gestión de Tecnología,0.0010672358591248667,0.0010672358591248667,0.0
Recursos Humanos,-0.0010672358591248667,-0.00026680896478121667,-0.00026680896478121667
Diseño de Imagen y Sonido,-0.0010672358591248667,-0.0,-0.0
Sistemas de Información,-0.0010672358591248667,-0.0,-0.0005336179295624333
Técnique Secundario en Programación,-0.0010672358591248667,-0.0,-0.0
Desarrollo de Software,-0.0008004268943436499,-0.0008004268943436499,-0.00026680896478121667
Ingeniería Mecatrónica,-0.0008004268943436499,-0.0005336179295624333,-0.0
Licenciatura en Psicología,0.0008004268943436499,0.0005336179295624333,0.0008004268943436499
Licenciatura en Sociología,-0.0008004268943436499,-0.0005336179295624333,-0.0
Certificaciones y Bootcamp,-0.0008004268943436499,-0.00026680896478121667,-0.00026680896478121667
Diseño Industrial,-0.0008004268943436499,-0.00026680896478121667,-0.00026680896478121667
Medicina,-0.0008004268943436499,-0.00026680896478121667,-0.00026680896478121667
Licenciatura en Marketing,-0.0008004268943436499,-0.0,-0.0
Tecnicatura Electrónica,-0.0008004268943436499,-0.0,-0.0
